tahun,bulan,jenis,perpustakaan,jumlah
2019,01,Pengunjung,CIKINI,5797
2019,01,Pengunjung,KUNINGAN,5191
2019,01,Pengunjung,KPAK Jakpus (Stationary),2459
2019,01,Pengunjung,KPAK Jakpus (Pusling),1509
2019,01,Pengunjung,KPAK Jakpus (RPTRA),32754
2019,01,Pengunjung,KPAK Jaktim (Stationary),582
2019,01,Pengunjung,KPAK Jaktim (Pusling),27078
2019,01,Pengunjung,KPAK Jaktim (RPTRA),32081
2019,01,Pengunjung,KPAK Jakbar (Stationary),4523
2019,01,Pengunjung,KPAK Jakbar (Pusling),19634
2019,01,Pengunjung,KPAK Jakbar (RPTRA),43753
2019,01,Pengunjung,KPAK Jaksel (Stationary),2155
2019,01,Pengunjung,KPAK Jaksel (Pusling),8259
2019,01,Pengunjung,KPAK Jaksel (RPTRA),39
2019,01,Pengunjung,KPAK Jakut (Stationary),3526
2019,01,Pengunjung,KPAK Jakut (Pusling),15022
2019,01,Pengunjung,KPAK Jakut (RPTRA),56287
2019,01,Pengunjung,KPAK Pulau 1000 (Stationary),6015
2019,01,Pengunjung,KPAK Pulau 1000 (RPTRA),14273
2019,01,Pengunjung,Permata 1,0
2019,01,Pengunjung,Permata 2,78
2019,01,Pengunjung,HB Jassin,195
2019,01,Pengguna,iJakarta,2204
